catalog,model,generated_title,llm_says,llm_pick,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,cand_7,cand_8,same_item,human_in,llm_dep,llm_in,llm8_in,tset_in,tsort_in,surf_in,cand_1_id,cand_2_id,cand_3_id,cand_4_id,cand_5_id,cand_6_id,cand_7_id,cand_8_id
amazon,llama,EXOTEK RACING LLC HD Rear Hub Carriers,OUT,,"EXOTEK RACING LLC HD Steering Set, Alloy W/ Bearings: Baja/Rock Rey, ETK1892",EXOTEK RACING LLC HD Aluminum Steering Rack DR10 DB10 SC10 ETK1943 Electric Car/Truck Option Parts,EXOTEK RACING LLC Alloy Diff Gear Case with HD Screws Baja/Rock Rey ETK1843 Electric Car/Truck Option Parts,EXOTEK RACING LLC Alloy HD Front Gearbox Set Baja/Rock Rey ETK1803 Electric Car/Truck Option Parts,EXOTEK RACING LLC Dr10 Hd Servo Mount 7075 1Piece Design ETK1975 Electric Car/Truck Option Parts,EXOTEK RACING LLC HD Carbon Fiber Top Plate 2.5mm Baja/Rock Rey ETK1893 Electric Car/Truck Option Parts,"Integy RC Model T6979SILVER HD Rear Hub Carriers for Savage XL, Flux & X 4.6 RTR","Integy RC Model T6979RED HD Rear Hub Carriers for Savage XL, Flux & X 4.6 RTR",0,False,False,False,False,False,False,False,B09JB5KMY3,B099P67N5H,B09BDHXQ8Y,B079B7VS7J,B08P27C3Q6,B07ZLXSHKZ,B001QW6ILG,B00NE0HE2U
movielens,claude,The Fugitive (1993),IN,,,,,,,,,,1,True,True,True,True,True,True,True,457,8044,51911,55485,55854,64944,77891,86204
amazon,mistral,Grossery Gang The Collector's Blind Bag Series 1,OUT,,Grossery Gang Season 1 Blind Bags (3-pack bundle!),The Grossery Gang Collector Cards 3 x Pack Blister,The Grossery Gang Collector Album,Grossery Gang The Collector's Storage Unit,The Grossery Gang Mushy Slushie Collector'S Cup,Grossery Gang The S3 Putrid Power The Clean Team Street Sweeper Playset Collector Playset,Grossery Gang The Grocery Gang S5 Action Figurines Assortment 12 Children's Toy,Grossery Gang The Putrid Power S3 Delivery Strike Motorbike,0,False,False,False,False,True,False,False,B01H9GHNM0,B07JLFX7RF,B07GNXV7X6,B06XJLDSFP,B01CDEXWEQ,B073QW8WFK,B079FQC4VY,B06XJ2S2J4
amazon,llama,Dead of Winter,OUT,,The Broken Token Box Organizer for Dead of Winter,Dead of Winter Warring Colonies Board Game EXPANSION | Post-Apocalyptic Survival Game | Strategy Game for Adults and Teens | Ages 13+ | 4-11 Players | Avg. Playtime 1-2 Hours | Made by Plaid Hat Games,e-Raptor Insert Dead of Winter: The Long Night,Gale Force Nine 1 X Winter/Dead Static Grass Round GF9,The Broken Token Box Organizer for Dead of Winter: The Long Night,Plan B Games 30030PZG Flick em Up Dead of Winter Game,SMONEX Dead of Winter a Crossroads Game Organizer Insert - Laser Engraved Dead of Winter Organizer with Awesome Portable Dice Tower - Dead of Winter Board Game Insert Made from Natural Plywood,Mayday Games Dead of Winter Game Accessory- Standard Card Sleeve Bundle,0,False,False,False,False,True,False,False,B00TR3XEWC,B0763ZD5ZS,B0761XCK3Y,B001N1BWU2,B01MQDHC1U,B073NSRB9X,B096SPN9VQ,B01HBRCSBI
amazon,llama,Playskool Heroes Transformers Rescue Bots Salvage The Construction-Bot Action Figure,IN,Transformers Playskool Heroes Rescue Bots Salvage Figure,"Transformers Playskool Heroes Rescue Bots Academy Wedge The Construction-Bot Converting Toy, 4.5"" Figure, Toys for Kids Ages 3 & Up","Playskool Heroes Transformers Rescue Bots Boulder the Construction-Bot Figure,Green",Playskool Heroes Transformers Rescue Bots Boulder the Construction-Bot Figure,Transformers Playskool Heroes Rescue Bots Academy Wedge The Construction-Bot,Playskool Heroes Transformers Rescue Bots Boulder The Construction-Bot Figure,"Playskool Heroes Transformers Rescue Bots Boulder the Construction-Bot Figure,Green",Transformers Rescue Bots Playskool Heroes Titan Series Boulder The Construction-Bot,Transformers Playskool Heroes Rescue Bots Beam Box Boulder The Construction-Bot Game Pack,0,False,False,True,False,True,False,False,B07PJLCNLF,B00IHHHKE2,B00A8UT5TY,B07BKLMXJV,B00UJ2HDS6,B00IHHHKE2,B00YTH0TN8,B00CX3AJNK
yelp,mistral,The Banyan Cafe,OUT,,,,,,,,,,2,True,True,False,True,False,False,False,v9JHzGqiVNiY_-shcnISjQ,1r7NMwVO9tDyDJLVWsM4lg,MNVLWshDR0bkCopl7WFoiQ,KU4Y64Xo98dadz3umx41zw,GZwgmKNS01hEWKQaRTro_A,D4_SY2a4YnoFhrwHeYVioA,mDsYJ6H79Eum9XsiqnvUgQ,r6Uk_zHcer4QJEMIe-wy8w
amazon,claude,Traxxas 2056 High-Torque Waterproof Servo Metal Gear for Stampede Rustler Bandit,IN,Traxxas 2056 High-Torque Waterproof Servo,Traxxas 2056 High-Torque Waterproof Servo,Traxxas 2056 High-Torque Waterproof Servo,Traxxas 2056 High-Torque Waterproof Servo,Traxxas 2056 High-Torque Waterproof Servo,Traxxas 2056 High-Torque Waterproof Servo,Traxxas 2056 High-Torque Waterproof Servo,"Traxxas 2075R Digital High Speed Torque Metal Gear Ball Bearing Waterproof Servo, 125 Ounces of Torque at 6V, Blue","SunFounder High Torque 330 Servo .17/330 @7.4V, Coreless Motor, Waterproof, Metal Gear(Ball Bearing) Digital Servo, Compatible with Most Traxxas 1/10 1/12 RC Car Scale Electric Models",1,True,True,True,True,True,False,False,B00ERU8ZGK,B00ERU8ZGK,B00ERU8ZGK,B00ERU8ZGK,B00ERU8ZGK,B00ERU8ZGK,B07JVJTY4L,B08CKJNDY8
yelp,mistral,Chickie's & Pete's,IN,,,,,,,,,,1,True,True,True,True,True,True,True,1e__0VDUwZ2Jb6pt65NjgA,aQhn4CcEJokY6ADxUbzTaQ,1e__0VDUwZ2Jb6pt65NjgA,1e__0VDUwZ2Jb6pt65NjgA,1e__0VDUwZ2Jb6pt65NjgA,1e__0VDUwZ2Jb6pt65NjgA,1e__0VDUwZ2Jb6pt65NjgA,9_ltcP8mvAVgZZqJNM5-6A
amazon,claude,Funko POP Games: Borderlands Tiny Tina Action Figure,IN,Funko POP Games Borderlands Tiny Tina Action Figure,Funko POP Games Borderlands Tiny Tina Action Figure,TUBBZ Borderlands 3 Tiny Tina Collectible Rubber Duck Vinyl Figure – Official Borderlands 3 Merchandise – PC & Video Games,McFarlane Toys Borderlands Tiny Tina Collectible Action Figure,Borderlands: Tiny Tina’s Robot Tea Party – 2-5 Players – Card Games for Family – 15 Mins of Gameplay – Games for Family Game Night – Card Games for Teens and Adults Ages 14+ - English,McFarlane Toys Borderlands - Tiny Tina 2 Action Figure,Funko Pop! Games: Tiny Tina's Wonderlands - Paladin Mike,Funko Pop! Games: Tiny Tina's Wonderlands - Butt Stallion,Funko Pop! Games: Tiny Tina's Wonderlands - Dragon Lord,1,True,True,True,True,True,True,True,B06XGFL3CG,B08WDKP8LT,B072KL5VCB,B07YBT5X3H,B07ZLBS6D2,B095HWSP4N,B095HV4SKK,B095HVQ7Q4
amazon,mistral,"Snap Circuits Jr. SC-100 Electronics Exploration Kit, Over 100 Projects, Full Color Project Manual, 30 + Snap Circuits Parts, STEM Educational Toy for Kids 8 +",IN,Snap Circuits Jr. SC-100 Electronics Exploration Kit | Over 100 STEM Projects | 4-Color Project Manual | 30 Snap Modules | Unlimited Fun,Snap Circuits Jr. Select SC-130 Electronics Exploration Kit | Over 130 Projects | Full Color Project Manual | 30+ Parts | STEM Educational Toys for Kids 8+,"Snap Circuits Jr. SC-100 Electronics Exploration Kit, Over 100 Projects, Full Color Project Manual, 28 Snap Circuits Parts, STEM Educational Toy for Kids 8 +",Snap Circuits Jr. SC-100 Electronics Exploration Kit | Over 100 STEM Projects | 4-Color Project Manual | 30 Snap Modules | Unlimited Fun,Snap Circuits Classic SC-300 Electronics Exploration Kit | Over 300 Projects | Full Color Project Manual | Snap Circuits Parts | STEM Educational Toy for Kids 8+ 2.3 x 13.6 x 19.3 inches,Snap Circuits Classic SC-300 Electronics Exploration Kit | Over 300 Projects | Full Color Manual Parts | STEM Educational Toy for Kids 8+ 2.3 x 13.6 x 19.3 inches,"Snap Circuits Green Alternative Energy Electronics Exploration Kit | Over 125 STEM Projects | Full Color Project Manual | 40+ Snap Circuits Parts | STEM Educational Toys for Kids 8+,Multicolored","Snap Circuits LIGHT Electronics Exploration Kit | Over 175 Exciting STEM Projects | Full Color Project Manual | 55+ Snap Circuits Parts | STEM Educational Toys for Kids 8+,Multi",Snap Circuits BRIC: Structures | Brick & Electronics Exploration Kit | Over 20 Stem & Brick Projects | Full Color Project Manual | 20 Parts | 75 BRIC-2-Snap Adapters | 140+ BRICs,2,True,True,True,True,True,True,True,B011M2WGAG,B00008BFZH,B09XF7CSBZ,B00BGYRGWY,B00CJL9IPQ,B002PLNSRY,B09B1XXZ7L,B08PPVC7P8
amazon,claude,"Kinetic Sand, 6lbs Beach Sand for Kids",OUT,,"Kinetic Sand, 6Lbs Bucket with 3 Colors of All-Natural and 3 Tools, Play Sand Sensory Toys for Kids Ages 3 and Up",Kinetic Sand The Original Moldable Sensory Play Sand Brown 2lbs & Beach Day Fun Kit w/Castle Molds Tools 12oz Age 3+,"Kinetic Sand, Seashell Containers 8-Pack with 4 Neon Sand Colors and Kinetic Beach Sand, Play Sand Sensory Toys for Kids Ages 3 and up","Kinetic Sand 6054245 Seashell Container with 127g Neon Pink and Kinetic Beach Sand, for Kids Aged 3 and Up, Multicolour","Kinetic Sand, Beach Day Fun Playset with Castle Molds, Tools and 12 oz. of All-Natural Kinetic Beach Sand, Play Sand Sensory Toys for Kids Ages 3 and up",Kinetic Sand Gift Set! Includes 6 oz. of Neon Blue Sand & 3 lbs of Kinetic Beach Sand and Neon Blue Sand Box,"Kinetic Sand Beach Sand Kingdom Playset with 3lbs of Beach Sand, for Ages 3 and Up & Beach Day Fun Playset with Castle Molds, Tools, and 12 oz. of Kinetic Sand for Ages 3 and Up","Kinetic Sand, Paw Patrol Adventure Bay Beach Playset",1,True,False,False,True,True,False,False,B0886RL2F7,B08DR8XMZ2,B084BTBXMT,B082BVBTKX,B09PBM7RJD,B01GSES3WI,B07YFGVPD9,B014H1VOPM
yelp,llama,California Pizza Kitchen,IN,,,,,,,,,,1,True,True,True,True,True,True,True,WlEseclwPGiFinAk-h1Tdg,TUtf4FLtotdQDleYpRIfnw,UXJEQycac7JKyyTVDjWBdA,odqgXlLcuedUMyD8Aetwfg,AinXa5xm_tHZfhdXWPR-wg,4CmLe8tGT5fIYHOaAsb3-g,WlEseclwPGiFinAk-h1Tdg,MfIBwI-7nXfmyQNFYFeeWg
movielens,claude,Braveheart (1995),IN,,,,,,,,,,1,True,True,True,True,True,True,True,110,26966,115763,653,3706,73023,89720,95167
yelp,gpt-oss,Vedge,IN,,,,,,,,,,1,True,True,True,True,True,True,True,2CDI713ATuxHfnB5b-sBdw,CY0qEKixlSsoWfW1LmiCXA,CY0qEKixlSsoWfW1LmiCXA,Qfb1ZgV43eHTZeR4x5fAUA,0R3SRPEYpqoUi3kq5ZsELw,jFmS7S0kU5ZQHSm4jqymQw,DUl9WUE8yUVUFdZWd3izCw,-CoSh2bjDUFPDPjPe43zXA
yelp,llama,The 404 Kitchen,IN,,,,,,,,,,1,True,True,True,True,True,True,True,JODu4xqBU80zZ9mKKWrbYg,eBjBM0WpDnGmJ5STqsN8dA,srx0YeMeDCN3dFC8iAU5zg,VeqkfRUzZAKlQer3npXPdQ,IbndcMURguByburM72o3SA,g7GCbnZC_HKO0ybNt7NXBw,5cz1XbgalpQ89gsNQwneVQ,_Oksx3ALgKLRVxeAR8l_qA
amazon,llama,Nerf N-Strike Elite Strongarm Blaster,IN,Nerf N-Strike Elite: Strongarm Blaster,WORKER Mod Modification Upgrade spring For NERF N-STRIKE ELITE STRONGARM Blaster/Nerf Rebelle Spylight Blaster/Zombie Strike Flipfury,Nerf N-Strike Elite: Strongarm Blaster with 30-Dart Refill Pack Frustration-Free Packaging Bundle,Nerf N-Strike Elite: Strongarm Blaster,Nerf N-Strike Elite Strongarm Double Your Darts Blaster,"NERF Strongarm N-Strike Elite Toy Blaster with Rotating Barrel, Slam Fire, and 6 Official Elite Darts, Orange & Elite Disruptor Dynamic Green Dart Blaster, 6-Dart Rotating Drum","Nerf N Strike Elite Strongarm Toy Blaster & Strongarm Nerf N-Strike Elite Toy Blaster with Rotating Barrel, Slam Fire, and 6 Official Nerf Elite Darts (Amazon Exclusive)",NERF N-Strike Elite Strongarm Sonic Fire Blaster,"Nerf Zombie Strike FlipFury Blaster,Orange, Etc. & N Strike Elite Strongarm Toy Blaster with Rotating Barrel, Slam Fire, and 6 Official Nerf Elite Darts for Kids, Teens, & Adults(Amazon Exclusive)",3,True,True,True,True,True,True,True,B01DSYDRTK,B018HFXSCG,B009T45XDW,B009NFH7CC,B0BPNPXCJT,B08D9K41BX,B07NP8GNXY,B08YC34CCD
yelp,claude,Falafel Corner,OUT,,,,,,,,,,0,False,False,False,False,False,False,False,pBJ9hVagqI4dwj6wPKTePA,rQW9iupvhk6ScPn2VPNLVQ,C5zdtQSfK_bjWi81MMI0SQ,lNm6n179opkEEbxLtbiTWw,d6IkDuDtxzBq8Cem2Jocgw,6NC4dWWuT9hIaaqdJBTNLw,BjB3V_pwlTfuxb2s9rqE_g,duAwbsF-DSd8BZomQQJ5VQ
movielens,gpt-oss,The Departed,IN,,,,,,,,,,1,True,True,True,True,True,True,True,48516,138984,168756,183205,200612,121783,4098,92923
movielens,mistral,Star Wars: Episode VIII - The Last Jedi,IN,,,,,,,,,,2,True,True,True,True,True,False,False,1210,179819,260,1196,2628,5378,33493,122886
amazon,claude,"Barbie Signature Looks Doll (Tall, Brunette) Fully Posable Fashion Doll Wearing Colorful Dress for Collectors",OUT,,Barbie Signature Looks Doll (Brunette Wavy Hair) Fully Posable Fashion Doll Wearing White Skirt for Collectors,"Barbie Signature Barbie Looks Ken Doll (Long Brunette Hair) Fully Posable Fashion Doll Wearing Black Tank Top & Metallic Pants, Gift for Collectors","Barbie Signature Looks Ken Doll (Brunette with Braids & Bun Hairstyle) Fully Posable Fashion Doll Wearing White Shirt & Pants, Gift for Collectors","Barbie Signature Looks Doll (Petite, Brunette Pixie Cut) Fully Posable Fashion Doll Wearing Black Midi Skirt for Collectors","Barbie Signature Looks Doll (Curvy, Brunette) Fully Posable Fashion Doll Wearing Black Jumpsuit, Gift for Collectors","Barbie Signature Looks Ken Doll (Blonde with Facial Hair) Fully Posable Fashion Doll Wearing Black T-Shirt & Vinyl Pants, Gift for Collectors","Barbie Signature Looks Doll (Original, Blonde Pixie Cut) Fully Posable Fashion Doll Wearing Black Crop Top & Metallic Skirt, Gift for Collectors","Barbie Signature Barbie Looks Doll (Petite, Red Hair) Fully Posable Fashion Doll Wearing Glittery Crop Top & Skirt, Gift for Collectors",0,False,False,False,False,False,False,False,B0BKK4BC8M,B09CG49JFW,B08HFSLPQJ,B08HFYP1QD,B0BNV6QLKY,B0BRSD994X,B09C1974MZ,B09C17M2PD
movielens,claude,Avengers: Endgame (2019),OUT,,,,,,,,,,0,False,False,False,False,True,False,False,3889,78959,79599,159542,160428,162512,162514,2153
yelp,claude,Sucré,IN,,,,,,,,,,3,True,True,True,True,True,True,True,jnge13lFtiLGXQEo5NwSYw,b0zp6rgcv7ZcjToRoVhcmQ,sKiwf8xmLzp11hmewV_jEQ,sKiwf8xmLzp11hmewV_jEQ,IclzwxM1pbT3zxR-xHg3Cw,sKiwf8xmLzp11hmewV_jEQ,7QWeOKrPjeWtGfhlDFMHWg,rTpg-LgUt28J4xMLZLCjAg
yelp,mistral,The Southern Steak & Oyster,IN,,,,,,,,,,1,True,True,True,True,True,True,True,6Pu5MKIWbn6FO-oebSSrYQ,x45_iDu3qheXFJrWNobmHQ,qfWJmJ0g96eM_fWma3ja0g,Wc-c_hQK4vFCl9keeVTUZw,JvawJ9bSr22xn4R9oLvl_w,S2Ho8yLxhKAa26pBAm6rxA,XEuryfYZwcivUtijaZ5laQ,b7V_5q22_eTeHlYzq1bpFw
amazon,mistral,Codenames: Deep Undercover - Adult Party Game,IN,Codenames Deep Undercover,Codenames Deep Undercover,"Codenames Bundle Set with Codenames, Codenames Deep Undercover 2.0 & Hickoryville Velour Storage Bag",3D Coloring Puzzle Reality WoodenModel Paint Kit Toys for Kids & Adult Puzzle Build 3D Puzzles Educational Crafts Building DIY (Deep Forest Cottage) xuanzhe,"Jigsaw Puzzle 1000 Pieces Adult Puzzle Wooden Puzzle Classic 3D Puzzle Aircraft Carrier and Helicopter in The Deep Sea DIY Modern Art Home Decor,75X50Cm","Muyan Moving Sand Art Picture Sandscapes in Motion Round Glass 3D Deep Sea Sand Art for Adult Kid Large Desktop Art Toys (Pink, 12 Inch)","Aoderun Moving Sand Art Picture Sandscapes in Motion 3D Deep Sea Sand Art Round Pink for Adult Relaxing Toys Décor Desktop Home Office (12"", Orange)",Oneshow Moving Sand Art Picture Flowing Sand Painting 3D Deep Sea Sandscape Liquid Motion Display 360° Rotation Round Glass Frame Relaxing Desktop Home Office Decor for Adult Kid Large Desk Art,Oneshow Moving Sand Art Picture Flowing Sand Painting 3D Deep Sea Sandscape Liquid Motion Display 360° Rotation Round Glass Frame Relaxing Desktop Home Office Decor for Adult Kid Desk Art (Blue),1,True,True,True,True,True,False,False,B01JDCD7EQ,B086H4T6MP,B08LGXH7PH,B07WNXVFHH,B0B8RZB4WW,B09YTH71L9,B0914MHHQB,B0C7KC2998
yelp,gpt-oss,Melt Bar and Grilled,OUT,,,,,,,,,,0,False,False,False,False,True,False,False,0E2JLWX2h-GdZp8sliaKcQ,y-YbEDBLGQ717MUcziLeew,0E2JLWX2h-GdZp8sliaKcQ,0E2JLWX2h-GdZp8sliaKcQ,XuZ0PjtRiRCIOpzWTtQ-Vg,JlCEOpvsyVfSn8BoHTmucw,Vq-oKF_DsX2QbRz-m5t27A,XuZ0PjtRiRCIOpzWTtQ-Vg
movielens,mistral,Deadpool,IN,,,,,,,,,,1,True,True,True,True,True,True,True,122904,187593,197697,199866,204252,4498,165771,867
yelp,llama,Bonefish Grill,IN,,,,,,,,,,1,True,True,True,True,True,True,True,CLUKvU_lTOcCQi6_24lzOg,W03ljRpnT1ZSkfo2keKc6w,CLUKvU_lTOcCQi6_24lzOg,CLUKvU_lTOcCQi6_24lzOg,CLUKvU_lTOcCQi6_24lzOg,CLUKvU_lTOcCQi6_24lzOg,CLUKvU_lTOcCQi6_24lzOg,CLUKvU_lTOcCQi6_24lzOg
movielens,mistral,Fargo,IN,,,,,,,,,,1,True,True,True,True,True,True,True,608,97304,166187,176905,77795,99866,157981,188541
yelp,mistral,Brennan's,IN,,,,,,,,,,3,True,True,True,True,True,True,True,l2bU_9mc3S5VXAK8Jh06TQ,ZvcTrbU-y96YzuPkMD-Y7Q,mjXIEy_xVd36aJqj9L2gBw,8HGrMJ9up35o0pP4GopPVQ,rymq5bC-olUcXU4QBRzWMw,RH3McNGGs8DILpthbjHY1w,ZVKUCgpPu6uni1YqbUNfIg,mjXIEy_xVd36aJqj9L2gBw
yelp,gpt-oss,Poke Bowl Express,OUT,,,,,,,,,,0,False,False,False,False,True,False,False,71b0dSgq1XTYYYWs24Fhow,H2PeFXGraLSJDmt7BGNOlg,hoYHhfn4w0mVjI60eHDHzA,hXDb6Tx5QqmcHK4EsSTMKg,-TW-0EqgnzUNHzV9VPSLoQ,VKKIN-9TqMK_CJCMIjG-Xg,NUe39dKrCF8M6jGmP5manA,yOWecDeW4MIBj-Hbpen3Pw
amazon,claude,Mattel Disney Princess Moana Fashion Doll,OUT,,"Mattel Disney Princess Moana Small Doll Story Pack with 1 Moana Doll, 5 Character Figures and 1 Accessory From the Movie","Mattel Disney Princess Moana Small Doll & Boat Playset with Floating Boat Vehicle & 2 Character Friends, from Disney Movie","Disney Princess Royal Shimmer Moana Doll, Fashion Doll with Skirt and Accessories, Toy for Kids Ages 3 and Up, Multicolor","Disney Princess Moana of Oceania Fashion Doll with Skirt That Sparkles, Headband, & Necklace, Toy for 3 Year Olds & Up","Disney Princess Moana Singing Fashion Doll in Signature Outfit, Sings ""How Far I'll Go"" from Movie",Disney Princess Moana Fashion Doll with Music,"Disney Princess Royal Shimmer Moana Doll, Fashion Doll with Skirt and Accessories, Toy for Kids Ages 3 and Up","Disney Princess Royal Collection, 12 Fashion Dolls - Ariel, Aurora, Belle, Cinderella, Jasmine, Merida, Moana, Mulan, Pocahontas, Rapunzel, Snow White, Tiana (Amazon Exclusive)",0,False,True,False,True,True,False,False,B0B2BF33BK,B0B29N54YP,B08TDC4XND,B07WDCV8YY,B0CC4597Z9,B01BOYCJBS,B08KGVJ5S3,B07DPJZZP3
amazon,gpt-oss,Yu-Gi-Oh! – Pot of Prosperity,OUT,,YU-GI-OH! - Pot of Greed (LCYW-EN059) - Legendary Collection 3: Yugi's World - Unlimited Edition - Secret Rare,YU-GI-OH! - Pot of Duality (BP02-EN160) - Battle Pack 2: War of The Giants - 1st Edition - Rare,YU-GI-OH! - Pot of Greed (YGLD-ENB26) - Yugi's Legendary Decks - 1st Edition - Common,YU-GI-OH! - Pot of Duality (PGL2-EN055) - Premium Gold: Return of The Bling - 1st Edition - Gold Rare,Yu-Gi-Oh! - Pot of Greed (SYE-040) - Starter Deck Yugi Evolution - Unlimited Edition - Common,Yu-Gi-Oh!! - Pot of Acquisitiveness (INOV-EN065) - Invasion: Vengeance - 1st Edition - Super Rare,Yu-Gi-Oh! - Pot of Greed (LOB-119) - Legend of Blue Eyes White Dragon - Unlimited Edition - Rare,Yu-Gi-Oh! - Pot of Greed (YGLD-ENB26) - Yugi's Legendary Decks - 1st Edition - Common by Yu-Gi-Oh!,0,False,False,False,False,False,False,False,B00L9A9J70,B00DOKR2S6,B017S8ATR0,B00UU11RVU,B01BH3WKLA,B01MQCI06H,B0062DUAJU,B01C6MD6QY
yelp,gpt-oss,Original Philly's Cheesesteak,OUT,,,,,,,,,,0,False,False,False,False,False,False,False,lqprvV6sAcDImpIUaTn6eg,TIEyPO5S2-xMaA3rrmjCzg,uxvrux9mSYaFkp0U9LFejw,UhkbBTjiK6S5wKqVnXEWzQ,UhkbBTjiK6S5wKqVnXEWzQ,-LH1mCYZYzxuqU90vemZDg,OLv_9dEcUGLq6AasZuloQw,FdLjOH275hK_BiJL9pPwhg
amazon,mistral,VTech KidiBeats Kids Drum Set,IN,"VTech KidiBeats Drum Set, Pink","VTech KidiBeats Drum Set, Pink",JETTINGBUY KidiBeats Kids Drum Set Rattle Drum Spin,"VTech Sort and Discover Drum, Yellow",VTech Baby Beats Monkey Drum includes Toy Drum^AAA Battery (3)^Manual,VTech Flipsies Jazz and her Drum Set,VTech Starshine the Bright Lights Unicorn,VTech Fix-It Buddies Toolbox,"VTech InnoTab 2S Kids Tablet, Pink",1,True,False,True,True,True,False,False,B0C5DXDNQ6,B014QSRQK8,B019ICGA3Q,B01M5JYJZL,B00ZCEY7FS,B07B737WTQ,B07PSB75DY,B008DS1M44
movielens,llama,The Shawshank Redemption,IN,,,,,,,,,,1,True,True,True,True,True,True,True,318,27875,78729,81520,93719,93838,98116,99735
amazon,gpt-oss,Wild Republic Dinosaur Plush – T‑Rex 12‑Inch,IN,"WILD REPUBLIC T-Rex Plush, Dinosaur Stuffed Animal, Plush Toy, Gifts for Kids, Cuddlekins 12""","WILD REPUBLIC T-Rex Plush, Dinosaur Stuffed Animal, Plush Toy, Gifts for Kids, Dinosauria 19""","Wild Republic Dinosaur Bucket, Dinosaur Figurines Set, T Rex, Triceratops, Velociraptor, Stegosaurus and more, 18-Piece","WILD REPUBLIC T-Rex Plush, Dinosaur Stuffed Animal, Plush Toy, Gifts for Kids, Cuddlekins 12""","WILD REPUBLIC Baby Dino Polybag, T-Rex, Stegosaurus, Brachiosaurus, Triceratops, Pteranodon, Dinosaur Figures, Gifts for Kids, 5Piece Playset","Wild Republic T-Rex Plush, Dinosaur Stuffed Animal, Plush Toy, Kids Gift, Glitter, 18.5 Inches","WILD REPUBLIC T-Rex Plush, Dinosaur Stuffed Animal, Plush Toy, Gifts for Kids, Dinosauria 15""","WILD REPUBLIC T-Rex Plush, Dinosaur Stuffed Animal, Plush Toy, Gifts for Kids, Glitter 12.5""","Wild Republic T-Rex Plush, Dinosaur Stuffed Animal, Plush Toy, Gifts for Kids, Dinosauria 17 Inches",3,True,True,True,True,True,False,False,B00ISUDD7G,B07N9L1ZMM,B00705Z4TA,B07DL31FVT,B07BZ2R7V2,B00J479ZRY,B07BZ2R7TZ,B0189KOOYA
movielens,mistral,The Rock (1996),IN,,,,,,,,,,2,True,True,True,True,True,True,True,373,733,1913,2319,2772,3145,3564,4757
movielens,mistral,Judge Dredd,IN,,,,,,,,,,1,True,True,True,True,True,True,True,173,96737,6478,52352,115170,121989,128758,131268
movielens,mistral,Let The Right One In (2008),IN,,,,,,,,,,1,True,True,True,True,True,False,True,61240,148785,1231,2828,3424,4131,4236,5226
amazon,gpt-oss,Pokémon TCG Battle Deck – Shining Fates (Charizard),OUT,,Pokemon TCG: Mega Charizard X Battle Arena Deck,Pokémon TCG: League Battle Deck Featuring Reshiram & Charizard-GX,"Pokémon TCG: Charizard & Reshiram GX League Battle Deck | 3 Pokemon-GX | 1 Deck Box | Genuine Cards, Multicolor (728192519246)","Pokemon TCG: XY Fates Collide, Battle Ruler 60-Card Theme Deck Featuring A Holographic Zygarde",Pokemon TCG: Sun & Moon Hidden Fates - Charizard-GX Collector's Tin,Pokemon TCG Shining Fates Shiny Eldegoss V Box,"Pokemon TCG: Shining Fates Mini Tin, Multi",Pokémon TCG: Shining Fates Mad Party Pin Collection,0,False,False,False,False,False,False,False,B07HJPBBXP,B0876HFY42,B088SN7NPH,B01DV8L76I,B07VJTPKQ8,B09CZ3DWQV,B09GYNQN2H,B09DFL23HR
yelp,llama,Buddakan,IN,,,,,,,,,,1,True,True,True,True,True,True,True,nIAbuktMEzVjT4P9pG89rQ,4mGnHfvwjE6P-vuKowHzCQ,ZqFy630e9itk-awsxviVfw,1KauHw6ktfuyxtLpFqbwkQ,kkR4hXKGY2WgU52osjIqyw,5y4o3Tx2eQhXsnUpgYFolQ,SQBg3xGfxoeZbsfMNduk_g,kDNuc4HKzqrKrDEAQ7x19A
amazon,llama,Play-Doh Modeling Compound 10-Pack,OUT,,"Play-Doh Ultimate Color Collection 65-Pack of Modeling Compound, Metallic Colors, and Color Burst & Play-Doh Modeling Compound 36 Pack Case of Colors, Non-Toxic, Assorted Colors, 3 Oz Cans","Play-Doh Bulk 12-Pack of Red Non-Toxic Modeling Compound, 4-Ounce Cans","Play-Doh Care 'n Carry Vet Playset for Kids 3 Years and Up with Toy Dog, Storage, 10 Tools, and 5 Modeling Compound Colors, Non-Toxic","Play-Doh Bulk 12-Pack of Blue Non-Toxic Modeling Compound, 4-Ounce Cans",Play-Doh Wheels Tractor Farm Truck Toy for Kids 3 Years and Up with Horse Trailer Mold and 3 Cans of Non-Toxic Modeling Compound,"Play-Doh Set On The Go Imagine and Store Studio, with 30 Tools and 10 Cans of Modeling Compound, Travel Toys for 3 Year Old Girls and Boys and Up, Non-Toxic","Play-Doh Kitchen Creations Spiral Fries Playset for Kids 3 Years and Up with Toy French Fry Maker, Drizzle, and 5 Modeling Compound Colors, Non-Toxic","Play-Doh Grown Up Scents 90s Edition, Totally Scented Modeling Compound for Adults, Multipack of 6 Colors and Smells, Funny Gift or Party Favor for Men and Women",0,False,False,False,False,True,False,False,B09L4XFT8C,B07BC89RBG,B099ZY7XLV,B07BC152DC,B09DDWBY4W,B09D5KR1TG,B0C1G1NKR9,B09D5JXCJG
